engineered_feature,feature_type
mass_radius_ratio,derived
stellar_planet_mass_ratio,derived
orbital_velocity,derived
escape_velocity,derived
hill_sphere,derived
stellar_age_category,derived
planet_star_temp_ratio,derived
distance_category,derived
log_orbital_period,derived
sqrt_orbital_distance,derived
mass_temp_interaction,derived
radius_period_interaction,derived
stellar_mass_metallicity,derived
pl_rade_squared,derived
pl_rade_cubed,derived
st_mass_squared,derived
st_mass_cubed,derived
pl_orbper_squared,derived
pl_orbper_cubed,derived
density_ratio,derived
log_planet_density,derived
