filename,size_bytes,format,category
dataset_information.csv,239,CSV,Analysis Results
dataset_information.txt,753,TXT,Analysis Results
missing_values_analysis.csv,937,CSV,Analysis Results
target_variable_statistics.csv,135,CSV,Analysis Results
correlation_matrix.csv,4085,CSV,Analysis Results
target_correlations.csv,388,CSV,Analysis Results
discovery_method_distribution.csv,254,CSV,Analysis Results
mass_by_discovery_method.csv,729,CSV,Analysis Results
yearly_discoveries.csv,300,CSV,Analysis Results
correlation_analysis_summary.txt,292,TXT,Analysis Results
engineered_features_list.csv,592,CSV,Analysis Results
features_statistics_before_engineering.csv,897,CSV,Analysis Results
features_statistics_after_engineering.csv,2599,CSV,Analysis Results
scaling_methods_used.csv,171,CSV,Analysis Results
model_performance_comparison.csv,6162,CSV,Analysis Results
best_models_per_scaler.csv,335,CSV,Analysis Results
model_configurations.json,1897,JSON,Analysis Results
permutation_importance.csv,1861,CSV,Analysis Results
builtin_feature_importance.csv,1267,CSV,Analysis Results
feature_selection_summary.csv,152,CSV,Analysis Results
selected_features_list.csv,317,CSV,Analysis Results
ensemble_model_performance.csv,171,CSV,Analysis Results
individual_vs_ensemble_metrics.csv,433,CSV,Analysis Results
cross_validation_detailed_results.csv,1940,CSV,Analysis Results
cross_validation_summary.csv,456,CSV,Analysis Results
predictions_and_residuals.csv,165693,CSV,Analysis Results
dataset_split_info.csv,75,CSV,Analysis Results
prediction_intervals.csv,61,CSV,Analysis Results
statistical_diagnostic_tests.csv,219,CSV,Analysis Results
anova_test_results.csv,96,CSV,Analysis Results
model_complexity_analysis.csv,191,CSV,Analysis Results
performance_complexity_tradeoff.csv,273,CSV,Analysis Results
model_recommendations.csv,326,CSV,Analysis Results
executive_summary.csv,257,CSV,Analysis Results
comprehensive_model_report.txt,1192,TXT,Analysis Results
feature_importance_report.txt,1059,TXT,Analysis Results
analysis_report.html,5093,HTML,Analysis Results
model_results_complete.json,17118,JSON,Analysis Results
cross_validation_results.json,2633,JSON,Analysis Results
feature_analysis_complete.json,2312,JSON,Analysis Results
analysis_metadata.json,659,JSON,Analysis Results
trained_models.pkl,59935721,PKL,Analysis Results
scalers.pkl,294218,PKL,Analysis Results
feature_selection.pkl,1797,PKL,Analysis Results
numpy_arrays.pkl,2011794,PKL,Analysis Results
analysis_results.pkl,41074,PKL,Analysis Results
detailed_error_analysis.csv,222333,CSV,Analysis Results
hyperparameter_optimization_results.csv,6781,CSV,Analysis Results
learning_curve_analysis.csv,2070,CSV,Analysis Results
export_summary.txt,3213,TXT,Analysis Results
