model_name,train_size,training_score,validation_score,training_std,validation_std
Best_Individual,441,0.9752924688606808,0.8081954209182408,0.006928923725398795,0.06816920102993451
Best_Individual,883,0.9733281904013797,0.896936799457665,0.005623616936758236,0.043977949074082194
Best_Individual,1325,0.9828886134425886,0.8996118949611441,0.002574834796339908,0.047465970606691985
Best_Individual,1767,0.9865977081494922,0.9139143385880937,0.004475426984754178,0.04651243041013722
Best_Individual,2209,0.9880045639733364,0.9233791661713328,0.004504089599047199,0.045738792363728915
Best_Individual,2651,0.9868701694018176,0.9294726490924298,0.0029932196964842727,0.04350954265061057
Best_Individual,3093,0.9881428732435277,0.9335939425945524,0.002442612646228591,0.04144543134789175
Best_Individual,3535,0.9895480122128861,0.9375114187458176,0.001967405494904319,0.04014481573341277
Best_Individual,3977,0.9898815748492528,0.9374802294060812,0.0018501275437405095,0.045222591474814514
Best_Individual,4419,0.9897168094411596,0.9391191308145416,0.0018683474042359132,0.04081953029836764
Best_Ensemble,441,0.9728839057747358,0.8069745510172817,0.008394501105141129,0.06560038754014344
Best_Ensemble,883,0.9770495329093472,0.8981508595273853,0.004195472847994131,0.04383868070121384
Best_Ensemble,1325,0.9849661654507257,0.9002512304141987,0.0015924816356009434,0.0472532282781759
Best_Ensemble,1767,0.9872762170096904,0.9134459800346206,0.004638127909328154,0.04621907186942311
Best_Ensemble,2209,0.9880911518898492,0.9235162259156311,0.004427779837658996,0.04553785440305188
Best_Ensemble,2651,0.9878877785992796,0.9306910343131903,0.0027380351538096597,0.04460880933717476
Best_Ensemble,3093,0.9890320547556442,0.9348717971104739,0.002264807441292348,0.04072100650270233
Best_Ensemble,3535,0.9904004235431165,0.9377382357279469,0.0017650480305326079,0.04083352402600067
Best_Ensemble,3977,0.9909228317369096,0.9381475920854745,0.0016440916757022193,0.045129093079287357
Best_Ensemble,4419,0.9901496258972701,0.9404489301288166,0.0016142686663946026,0.040671362810905706
