Column,Missing_Count,Missing_Percentage,Data_Type
sy_kepmagerr2,38973,100.0,float64
sy_kepmagerr1,38973,100.0,float64
sy_icmagerr1,38933,99.89736484232674,float64
sy_icmagerr2,38933,99.89736484232674,float64
pl_occdeperr2,38929,99.88710132655942,float64
pl_occdeperr1,38929,99.88710132655942,float64
sy_icmagstr,38928,99.88453544761758,object
sy_icmag,38928,99.88453544761758,float64
pl_occdep,38926,99.87940368973392,float64
pl_occdepstr,38926,99.87940368973392,object
pl_occdeplim,38926,99.87940368973392,float64
pl_trueobliqerr2,38918,99.85887665819926,float64
pl_trueobliqerr1,38918,99.85887665819926,float64
pl_trueobliqlim,38912,99.84348138454827,float64
pl_trueobliq,38912,99.84348138454827,float64
pl_trueobliqstr,38912,99.84348138454827,object
pl_cmassjerr2,38889,99.78446616888615,float64
pl_cmasseerr1,38889,99.78446616888615,float64
pl_cmasseerr2,38889,99.78446616888615,float64
pl_cmassjerr1,38889,99.78446616888615,float64
